iroha-bfv-diagnostics-v1
0	S	placeholder text	S	binary-fragmented placeholder guard must reject markers split across non-text bytes
1	S	blank text	S	binary-decorated placeholder guard must reject separator-framed blank text
2	S	printable ASCII	S	trusted reviewer ids with control bytes but no placeholder markers must still fail printable ASCII validation
3	S	canonical	S	trusted reviewer ids with surrounding whitespace but no placeholder markers must still fail canonicality validation
4	S	exactly one external-review-approved	S	report marker parser must reject same-statement duplicate markers
5	S	exactly one external-review-approved	S	report marker parser must reject uppercase same-statement duplicate markers
6	S	exactly one external-review-approved	S	report marker parser must reject padded-colon duplicate markers
7	S	exactly one external-review-evidence-archive	S	archive marker parser must reject same-statement duplicate markers
8	S	exactly one external-review-evidence-archive	S	archive marker parser must reject mixed-case same-statement duplicate markers
9	S	exactly one external-review-evidence-archive	S	archive marker parser must reject mixed-case padded-colon duplicate markers
10	S	printable ASCII	S	report marker statement must reject NUL-hidden text
11	S	printable ASCII	S	archive marker statement must reject control-whitespace text
12	S	printable ASCII	S	report marker statement must reject UTF-8 bidi/control bytes
13	S	lowercase signed reviewer id labels	S	case-drifted reviewer-id labels must be rejected instead of accepted as signed labels
14	S	lowercase signed reviewer id labels	S	case-drifted conflicting reviewer labels must fail before duplicate-label counting
15	S	lowercase signed reviewer id labels	S	case-drifted duplicate reviewer labels must fail before duplicate-label counting
16	S	canonical lowercase signed reviewer id labels	S	underscore reviewer-id aliases must fail instead of becoming review prose
17	S	canonical lowercase signed reviewer id labels	S	collapsed reviewer-id aliases must fail instead of becoming review prose
18	S	canonical lowercase signed reviewer id labels	S	dotted reviewed-by aliases must fail instead of becoming review prose
19	S	only canonical generated circuit body hex labels	S	archive artifact hex lookups must reject dotted aliases beside canonical labels
20	S	header-only audit artifact	S	canonical report digest cache must preserve header-only diagnostics
21	S	placeholder full-bootstrap digest	S	canonical report digest cache must reject generic full-bootstrap placeholder material digests before artifact sentinel lookup
22	S	whitespace-prefixed nested-header audit artifact	S	canonical archive digest cache must preserve nested-header diagnostics
23	S	zero-body audit artifact	S	canonical report digest cache must reject zero-body sentinels
24	S	blank-body audit artifact	S	canonical archive digest cache must reject blank-body sentinels
