iroha-bfv-diagnostics-v1
0	N		S	external-review package-and-digest builder must pin the returned bytes
1	D	runtime expected retained in Rust	S	external-review packages must reject caller-pinned generated-body commitments as package digest aliases
2	S	generated circuit body release-prover contract digest	S	caller-pinned generated-body commitment aliases must fail before stale package validation can mask the package-digest diagnostic
3	N		S	package-byte digest helper must return the decoded package
4	N		S	package-byte digest helper must return the digest of the admitted package bytes
5	N		S	package-byte digests helper must return the decoded package
6	N		S	package-byte digests helper must return the embedded record digest
7	N		S	package-byte digests helper must return the embedded manifest digest
8	N		S	package-byte digests helper must return the digest of the admitted package bytes
9	N		S	package-byte all-digests helper must return the decoded package
10	N		S	package-byte all-digests helper must return the embedded record digest
11	N		S	package-byte all-digests helper must return the admitted evidence digest
12	N		S	package-byte all-digests helper must return the admitted signoff digest
13	N		S	package-byte all-digests helper must return the embedded manifest digest
14	N		S	package-byte all-digests helper must return the digest of the admitted package bytes
15	N		S	evidence-byte digest helper must return the decoded release-audit evidence
16	N		S	evidence-byte digest helper must return the digest of the admitted evidence bytes
17	N		S	record-byte digest helper must return the decoded signed record
18	N		S	record-byte digest helper must return the digest of the admitted record bytes
19	N		S	record-byte digests helper must return the decoded signed record
20	N		S	record-byte digests helper must return the admitted evidence digest
21	N		S	record-byte digests helper must return the admitted signoff digest
22	N		S	record-byte digests helper must return the admitted record digest
23	N		S	manifest-byte digest helper must return the decoded manifest
24	N		S	manifest-byte digest helper must return the digest of the admitted manifest bytes
25	N		S	manifest-byte digests helper must return the decoded manifest
26	N		S	manifest-byte digests helper must return the embedded record digest
27	N		S	manifest-byte digests helper must return the embedded evidence digest
28	N		S	manifest-byte digests helper must return the admitted manifest digest
29	N		S	manifest record-byte builder with digests must return the decoded record
30	N		S	manifest record-byte builder with digests must reproduce the manifest
31	N		S	manifest record-byte builder with digests must return the admitted record digest
32	N		S	manifest record-byte builder with digests must return the generated manifest digest
33	N		S	manifest record-byte builder with all digests must return the decoded record
34	N		S	manifest record-byte builder with all digests must reproduce the manifest
35	N		S	manifest record-byte builder with all digests must return the admitted evidence digest
36	N		S	manifest record-byte builder with all digests must return the admitted signoff digest
37	N		S	manifest record-byte builder with all digests must return the admitted record digest
38	N		S	manifest record-byte builder with all digests must return the generated manifest digest
39	N		S	record/manifest byte package builder must return the decoded record
40	N		S	record/manifest byte package builder must return the decoded manifest
41	N		S	record/manifest byte package builder must reconstruct the reviewed package
42	N		S	record/manifest byte package-and-digest builder must return the decoded record
43	N		S	record/manifest byte package-and-digest builder must return the decoded manifest
44	N		S	record/manifest byte package-and-digest builder must reconstruct the reviewed package
45	N		S	record/manifest byte package-and-digest builder must return the package digest
46	N		S	record/manifest byte package-and-digests builder must return the decoded record
47	N		S	record/manifest byte package-and-digests builder must return the decoded manifest
48	N		S	record/manifest byte package-and-digests builder must reconstruct the reviewed package
49	N		S	record/manifest byte package-and-digests builder must return the admitted record digest
50	N		S	record/manifest byte package-and-digests builder must return the admitted manifest digest
51	N		S	record/manifest byte package-and-digests builder must return the package digest
52	N		S	record/manifest byte package-and-all-digests builder must return the decoded record
53	N		S	record/manifest byte package-and-all-digests builder must return the decoded manifest
54	N		S	record/manifest byte package-and-all-digests builder must reconstruct the reviewed package
55	N		S	record/manifest byte package-and-all-digests builder must return the admitted record digest
56	N		S	record/manifest byte package-and-all-digests builder must return the admitted evidence digest
57	N		S	record/manifest byte package-and-all-digests builder must return the admitted signoff digest
58	N		S	record/manifest byte package-and-all-digests builder must return the admitted manifest digest
59	N		S	record/manifest byte package-and-all-digests builder must return the package digest
60	N		S	external-review record/manifest byte builder must return the decoded record
61	N		S	external-review record/manifest byte builder must return the decoded manifest
62	N		S	external-review record/manifest byte builder must reconstruct the reviewed package
63	N		S	external-review record/manifest byte package-and-digest builder must return the decoded record
64	N		S	external-review record/manifest byte package-and-digest builder must return the decoded manifest
65	N		S	external-review record/manifest byte package-and-digest builder must reconstruct the reviewed package
66	N		S	external-review record/manifest byte package-and-digest builder must return the package digest
67	N		S	external-review record/manifest byte package-and-digests builder must return the decoded record
68	N		S	external-review record/manifest byte package-and-digests builder must return the decoded manifest
69	N		S	external-review record/manifest byte package-and-digests builder must reconstruct the reviewed package
70	N		S	external-review record/manifest byte package-and-digests builder must return the admitted record digest
71	N		S	external-review record/manifest byte package-and-digests builder must return the admitted manifest digest
72	N		S	external-review record/manifest byte package-and-digests builder must return the package digest
73	N		S	external-review record/manifest byte package-and-all-digests builder must return the decoded record
74	N		S	external-review record/manifest byte package-and-all-digests builder must return the decoded manifest
75	N		S	external-review record/manifest byte package-and-all-digests builder must reconstruct the reviewed package
76	N		S	external-review record/manifest byte package-and-all-digests builder must return the admitted record digest
77	N		S	external-review record/manifest byte package-and-all-digests builder must return the admitted evidence digest
78	N		S	external-review record/manifest byte package-and-all-digests builder must return the admitted signoff digest
79	N		S	external-review record/manifest byte package-and-all-digests builder must return the admitted manifest digest
80	N		S	external-review record/manifest byte package-and-all-digests builder must return the package digest
81	N		S	byte-level production package admission must return the canonical decoded package
82	N		S	byte-derived production package admission must return the canonical decoded package
83	N		S	byte-derived production package admission must return the digest of the admitted package bytes
84	N		S	artifact-bundle byte digest helper must return the decoded artifacts
85	N		S	artifact-bundle byte digest helper must return the digest of the admitted artifact bytes
86	S	zero hash	S	byte-level production package admission must reject zero caller-pinned package digests before package-byte decoding
87	S	placeholder	S	byte-level production package admission must reject placeholder caller-pinned package digests before package-byte decoding
88	S	canonical	S	byte-level production package admission must reject malformed caller reviewer ids before package-byte decoding
89	S	all zero	S	byte-level production package admission must reject all-zero caller reviewer keys before package-byte decoding
90	S	canonical	S	byte-derived production package admission must reject malformed caller reviewer ids before package-byte decoding
91	S	all zero	S	byte-derived production package admission must reject all-zero caller reviewer keys before package-byte decoding
92	S	canonical	S	combined byte-level production admission must reject malformed caller reviewer ids before artifact-byte decoding
93	S	all zero	S	combined byte-level production admission must reject all-zero caller reviewer keys before artifact-byte decoding
94	S	canonical	S	derived-digest combined admission must reject malformed caller reviewer ids before artifact-byte decoding
95	S	all zero	S	derived-digest combined admission must reject all-zero caller reviewer keys before artifact-byte decoding
96	S	canonical	S	combined byte-level production admission with all digests must reject malformed caller reviewer ids before artifact-byte decoding
97	S	all zero	S	combined byte-level production admission with all digests must reject all-zero caller reviewer keys before artifact-byte decoding
98	S	zero hash	S	combined artifact/package byte admission must reject zero caller-pinned package digests before artifact-byte decoding
