iroha-bfv-diagnostics-v1
0	N		S	BFV equality assertion at source line 44054
1	N		S	BFV equality assertion at source line 44058
2	N		S	BFV equality assertion at source line 44062
3	N		S	BFV equality assertion at source line 44063
4	N		S	BFV equality assertion at source line 44064
5	N		S	BFV equality assertion at source line 44065
6	N		S	BFV equality assertion at source line 44066
7	N		S	BFV equality assertion at source line 44067
8	N		S	BFV equality assertion at source line 44068
9	N		S	BFV equality assertion at source line 44069
10	N		S	BFV equality assertion at source line 44070
11	N		S	BFV equality assertion at source line 44075
12	N		S	BFV equality assertion at source line 44080
13	N		S	execution witness material must echo the public claim Galois key-set digest
14	N		S	execution claim must bind the exact Galois key set used by the trace
15	N		S	Galois key-set digest must be canonical over automorphism powers, not caller order
16	N		S	execution witness material must canonicalize reordered Galois key sets
17	N		S	artifact-bound witness digest must be stable under Galois key order
18	N		S	canonical Galois key-set bytes must decode to sorted typed keys
19	N		S	canonical Galois key-set bytes must hash to the witness key-set digest
20	N		S	canonical Galois key-set bytes must return sorted typed keys with the digest
21	N		S	canonical Galois key-set bytes must return the witness digest with the decoded keys
22	N		S	witness-bound Galois key-set byte digesting must return the admitted digest
23	N		S	witness-bound Galois key-set byte digest helper must return sorted typed keys
24	N		S	witness-bound Galois key-set byte digest helper must return the witness digest
25	N		S	witness-bound Galois key-set byte admission must return sorted typed keys
26	S	do not match execution witness material	S	witness-bound Galois key-set byte digesting must reject stale witness digests
27	S	do not match execution witness material	S	witness-bound Galois key-set byte digest helper must reject stale witness digests
28	S	do not match execution witness material	S	witness-bound Galois key-set byte admission must reject stale witness digests
29	N		S	reordered Galois key bytes must still carry the same typed key order
30	S	canonical v1 bytes	S	Galois key-set byte admission must reject noncanonical caller order
31	S	canonical v1 bytes	S	Galois key-set byte digesting must reject noncanonical caller order
32	S	canonical v1 bytes	S	Galois key-set byte decode-and-digest must reject noncanonical caller order
33	S	canonical v1 bytes	S	witness-bound Galois key-set byte digesting must reject noncanonical caller order
34	S	canonical v1 bytes	S	witness-bound Galois key-set byte digest helper must reject noncanonical caller order
35	S	canonical v1 bytes	S	witness-bound Galois key-set byte admission must reject noncanonical caller order
36	N		S	compressed Galois key set must carry the same typed material
37	S	canonical v1 bytes	S	Galois key-set byte admission must reject compressed Norito framing
38	S	canonical v1 bytes	S	Galois key-set byte digesting must reject compressed Norito framing
39	S	canonical v1 bytes	S	Galois key-set byte decode-and-digest must reject compressed Norito framing
40	S	canonical v1 bytes	S	witness-bound Galois key-set byte digesting must reject compressed Norito framing
41	S	canonical v1 bytes	S	witness-bound Galois key-set byte digest helper must reject compressed Norito framing
42	S	canonical v1 bytes	S	witness-bound Galois key-set byte admission must reject compressed Norito framing
43	S	execution witness material version	S	witness-bound Galois key-set byte digesting must reject witness material metadata before key-set framing
44	S	execution witness material version	S	witness-bound Galois key-set byte digest helper must reject witness material metadata before key-set framing
45	S	execution witness material version	S	witness-bound Galois key-set byte admission must reject witness material metadata before key-set framing
46	S	Norito-encoded Galois key-set material	S	Galois key-set byte admission must reject non-Norito placeholder-looking bytes
47	S	Norito-encoded Galois key-set material	S	Galois key-set byte digesting must reject non-Norito placeholder-looking bytes
48	S	Norito-encoded Galois key-set material	S	Galois key-set byte decode-and-digest must reject non-Norito placeholder-looking bytes
49	S	Norito-encoded Galois key-set material	S	witness-bound Galois key-set byte digesting must reject non-Norito placeholder-looking bytes
50	S	Norito-encoded Galois key-set material	S	witness-bound Galois key-set byte digest helper must reject non-Norito placeholder-looking bytes
51	S	Norito-encoded Galois key-set material	S	witness-bound Galois key-set byte admission must reject non-Norito placeholder-looking bytes
