# Accept rows were generated from iroha_data_model::block::consensus_v2 using Encode::encode.
# Reject rows are Rust-encoded invalid values or deliberate corruptions of those payloads.
# Bare Norito v1 layout with COMPACT_LEN; do not regenerate from an SDK codec.
# kind	name	hex	expectation
message	proposal	020200f70800000000f108342120eb0ddc2676c35277732a05b97d70c54e322244e7abfeda2bc17db2b746fa1283080100000000000000080100000000000000040200000065220120011a1672125bdf7547ce7f09083cdca8877beb715bd3293823fac0f558efcb6d20b9f00e02057417f8b2e5589c3abd9d098c86fc4a4789129f57e52a1da5f4f39720c9748c80dadefcd38c98e859b41610011dc2020c09c4260ae870b52fa68b6e398e02342120eb0ddc2676c35277732a05b97d70c54e322244e7abfeda2bc17db2b746fa128308010000000000000008010000000000000065220120011a1672125bdf7547ce7f09083cdca8877beb715bd3293823fac0f558efcb6d20b9f00e02057417f8b2e5589c3abd9d098c86fc4a4789129f57e52a1da5f4f39720c9748c80dadefcd38c98e859b41610011dc2020c09c4260ae870b52fa68b6e390804000000000000001e04000000000404000000020000020000080004000000000000040001000029010000000000000020bfc4d85b5328076166b7e3779b2dde9c0a2dde14eb0c5fc827cc4201d7fdabf120bfc4d85b5328076166b7e3779b2dde9c0a2dde14eb0c5fc827cc4201d7fdabf186050100000080058803342120eb0ddc2676c35277732a05b97d70c54e322244e7abfeda2bc17db2b746fa1283080100000000000000080200000000000000d1020100000000000000c702f40101f101342120eb0ddc2676c35277732a05b97d70c54e322244e7abfeda2bc17db2b746fa1283080100000000000000080100000000000000040100000065220120c6e4e28ea3eb2d09b1914a3f626bea215e8e58c9cdd4bc6125bb94cfb75fb2272050a2c0d145539c1fb32f60e0d8425b1c03f6120c40171971b8de9c0017a4bfb320a1ff197e558b39df283b3c56348520d8bce2685dea0a8082a69bb9fce513c3051703000000000000000400000000040100000004020000003830000000000000005a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a170300000000000000040000000004010000000402000000383000000000000000333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333f40101f101342120eb0ddc2676c35277732a05b97d70c54e322244e7abfeda2bc17db2b746fa1283080100000000000000080100000000000000040100000065220120c6e4e28ea3eb2d09b1914a3f626bea215e8e58c9cdd4bc6125bb94cfb75fb2272050a2c0d145539c1fb32f60e0d8425b1c03f6120c40171971b8de9c0017a4bfb320a1ff197e558b39df283b3c56348520d8bce2685dea0a8082a69bb9fce513c3051703000000000000000400000000040100000004020000003830000000000000005a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a383000000000000000555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555	accept
message	vote	020200b50101000000af01342120eb0ddc2676c35277732a05b97d70c54e322244e7abfeda2bc17db2b746fa1283080100000000000000080100000000000000040100000065220120011a1672125bdf7547ce7f09083cdca8877beb715bd3293823fac0f558efcb6d20b9f00e02057417f8b2e5589c3abd9d098c86fc4a4789129f57e52a1da5f4f39720c9748c80dadefcd38c98e859b41610011dc2020c09c4260ae870b52fa68b6e39040000000009010000000000000001	accept
message	quorum_certificate	020200f70102000000f101342120eb0ddc2676c35277732a05b97d70c54e322244e7abfeda2bc17db2b746fa1283080100000000000000080100000000000000040100000065220120c6e4e28ea3eb2d09b1914a3f626bea215e8e58c9cdd4bc6125bb94cfb75fb2272050a2c0d145539c1fb32f60e0d8425b1c03f6120c40171971b8de9c0017a4bfb320a1ff197e558b39df283b3c56348520d8bce2685dea0a8082a69bb9fce513c3051703000000000000000400000000040100000004020000003830000000000000005a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a	accept
message	timeout_vote	020200c00203000000ba02342120eb0ddc2676c35277732a05b97d70c54e322244e7abfeda2bc17db2b746fa1283080100000000000000080200000000000000f40101f101342120eb0ddc2676c35277732a05b97d70c54e322244e7abfeda2bc17db2b746fa1283080100000000000000080100000000000000040100000065220120c6e4e28ea3eb2d09b1914a3f626bea215e8e58c9cdd4bc6125bb94cfb75fb2272050a2c0d145539c1fb32f60e0d8425b1c03f6120c40171971b8de9c0017a4bfb320a1ff197e558b39df283b3c56348520d8bce2685dea0a8082a69bb9fce513c3051703000000000000000400000000040100000004020000003830000000000000005a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a040000000009010000000000000002	accept
message	timeout_certificate	0202008e03040000008803342120eb0ddc2676c35277732a05b97d70c54e322244e7abfeda2bc17db2b746fa1283080100000000000000080200000000000000d1020100000000000000c702f40101f101342120eb0ddc2676c35277732a05b97d70c54e322244e7abfeda2bc17db2b746fa1283080100000000000000080100000000000000040100000065220120c6e4e28ea3eb2d09b1914a3f626bea215e8e58c9cdd4bc6125bb94cfb75fb2272050a2c0d145539c1fb32f60e0d8425b1c03f6120c40171971b8de9c0017a4bfb320a1ff197e558b39df283b3c56348520d8bce2685dea0a8082a69bb9fce513c3051703000000000000000400000000040100000004020000003830000000000000005a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a170300000000000000040000000004010000000402000000383000000000000000333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333	accept
message	payload_manifest	0202009402050000008e02342120eb0ddc2676c35277732a05b97d70c54e322244e7abfeda2bc17db2b746fa128308010000000000000008010000000000000065220120011a1672125bdf7547ce7f09083cdca8877beb715bd3293823fac0f558efcb6d20b9f00e02057417f8b2e5589c3abd9d098c86fc4a4789129f57e52a1da5f4f39720c9748c80dadefcd38c98e859b41610011dc2020c09c4260ae870b52fa68b6e390804000000000000001e04000000000404000000020000020000080004000000000000040001000029010000000000000020bfc4d85b5328076166b7e3779b2dde9c0a2dde14eb0c5fc827cc4201d7fdabf120bfc4d85b5328076166b7e3779b2dde9c0a2dde14eb0c5fc827cc4201d7fdabf1	accept
message	payload_chunk	020200760600000071201218fc4cfe7339c9023d5245af1e8d56868c4af80d839a0f127f79780a9d266104000000000c0400000000000000626f64790400000000383000000000000000666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666	accept
message	certified_body_request	0202009904070000009304342120eb0ddc2676c35277732a05b97d70c54e322244e7abfeda2bc17db2b746fa128308010000000000000008010000000000000065220120011a1672125bdf7547ce7f09083cdca8877beb715bd3293823fac0f558efcb6d20b9f00e02057417f8b2e5589c3abd9d098c86fc4a4789129f57e52a1da5f4f39720c9748c80dadefcd38c98e859b41610011dc2020c09c4260ae870b52fa68b6e39f101342120eb0ddc2676c35277732a05b97d70c54e322244e7abfeda2bc17db2b746fa1283080100000000000000080100000000000000040100000065220120c6e4e28ea3eb2d09b1914a3f626bea215e8e58c9cdd4bc6125bb94cfb75fb2272050a2c0d145539c1fb32f60e0d8425b1c03f6120c40171971b8de9c0017a4bfb320a1ff197e558b39df283b3c56348520d8bce2685dea0a8082a69bb9fce513c3051703000000000000000400000000040100000004020000003830000000000000005a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a4b4a2100000000000000010001ed0149012801c6012801d101c201c601ea01e9010301380190015901950161012901590127013a015c016301f90136013601c10146011401ac0187013701d1383000000000000000444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444	accept
message	certified_body_response	020200d30208000000cd02206d7daafef26044197ae495c1559147f5f3a7ba3bf8107e3c121a4dd5678e7ebb8e02342120eb0ddc2676c35277732a05b97d70c54e322244e7abfeda2bc17db2b746fa128308010000000000000008010000000000000065220120011a1672125bdf7547ce7f09083cdca8877beb715bd3293823fac0f558efcb6d20b9f00e02057417f8b2e5589c3abd9d098c86fc4a4789129f57e52a1da5f4f39720c9748c80dadefcd38c98e859b41610011dc2020c09c4260ae870b52fa68b6e390804000000000000001e04000000000404000000020000020000080004000000000000040001000029010000000000000020bfc4d85b5328076166b7e3779b2dde9c0a2dde14eb0c5fc827cc4201d7fdabf120bfc4d85b5328076166b7e3779b2dde9c0a2dde14eb0c5fc827cc4201d7fdabf10c0400000000000000626f6479040000000009010000000000000003	accept
message	commit_certificate_request	020200cc0109000000c60102020012111073756d65726167692d76322d746573742120eb0ddc2676c35277732a05b97d70c54e322244e7abfeda2bc17db2b746fa12830801000000000000004b4a2100000000000000010001a701f601df01af018f013801b8019b01a801ce0164019b0159014f019101e401d0011f01dc015701f901c90149013d01f4013b015e015001a9019801730167383000000000000000818181818181818181818181818181818181818181818181818181818181818181818181818181818181818181818181	accept
